iter	Passed	Remaining
0	32	31985
1	63	31840
2	96	31957
3	128	31943
4	175	34983
5	201	33336
6	230	32718
7	256	31760
8	281	31046
9	308	30551
10	342	30752
11	367	30276
12	394	29988
13	447	31531
14	475	31249
15	503	30944
16	529	30621
17	556	30357
18	584	30176
19	624	30621
20	647	30182
21	693	30831
22	719	30582
23	748	30436
24	773	30169
25	802	30055
26	855	30824
27	881	30603
28	904	30277
29	929	30052
30	977	30561
31	1012	30627
32	1035	30356
33	1077	30608
34	1108	30575
35	1135	30401
36	1162	30243
37	1203	30477
38	1238	30517
39	1265	30370
40	1288	30134
41	1337	30496
42	1363	30337
43	1394	30297
44	1433	30416
45	1483	30759
46	1511	30651
47	1559	30931
48	1592	30902
49	1613	30665
50	1633	30386
51	1657	30219
52	1677	29971
53	1714	30030
54	1741	29918
55	1773	29897
56	1808	29913
57	1831	29744
58	1856	29607
59	1879	29444
60	1904	29318
61	1956	29601
62	1980	29453
63	2006	29341
64	2032	29237
65	2071	29314
66	2104	29302
67	2126	29145
68	2151	29024
69	2194	29152
70	2220	29052
71	2241	28888
72	2271	28838
73	2297	28750
74	2329	28734
75	2353	28618
76	2381	28552
77	2420	28611
78	2448	28540
79	2500	28757
80	2530	28709
81	2558	28645
82	2591	28634
83	2625	28627
84	2646	28486
85	2672	28402
86	2694	28273
87	2735	28352
88	2760	28254
89	2786	28174
90	2810	28078
91	2863	28261
92	2891	28197
93	2916	28112
94	2945	28064
95	2984	28103
96	3011	28036
97	3036	27946
98	3058	27838
99	3092	27829
100	3122	27797
101	3143	27677
102	3168	27593
103	3193	27512
104	3245	27666
105	3280	27670
106	3322	27731
107	3382	27939
108	3421	27966
109	3448	27900
110	3485	27917
111	3527	27970
112	3554	27897
113	3604	28014
114	3627	27916
115	3670	27972
116	3692	27864
117	3711	27743
118	3740	27693
119	3765	27614
120	3806	27650
121	3825	27532
122	3845	27416
123	3864	27302
124	3885	27201
125	3906	27097
126	3925	26982
127	3942	26860
128	3960	26740
129	3979	26628
130	3999	26527
131	4033	26526
132	4057	26449
133	4080	26368
134	4103	26290
135	4127	26220
136	4147	26124
137	4168	26037
138	4188	25944
139	4210	25863
140	4230	25771
141	4253	25697
142	4272	25607
143	4294	25527
144	4315	25445
145	4336	25366
146	4361	25307
147	4384	25241
148	4402	25146
149	4427	25088
150	4450	25020
151	4470	24942
152	4491	24866
153	4525	24860
154	4543	24769
155	4558	24665
156	4574	24561
157	4589	24457
158	4605	24360
159	4622	24267
160	4640	24181
161	4656	24089
162	4683	24049
163	4698	23949
164	4713	23851
165	4729	23761
166	4745	23671
167	4762	23584
168	4776	23487
169	4791	23395
170	4808	23309
171	4824	23226
172	4843	23154
173	4859	23068
174	4884	23026
175	4907	22974
176	4924	22895
177	4942	22822
178	4958	22743
179	4975	22663
180	4991	22584
181	5007	22505
182	5024	22429
183	5039	22349
184	5055	22269
185	5070	22191
186	5086	22113
187	5113	22086
188	5129	22009
189	5144	21932
190	5162	21866
191	5178	21793
192	5193	21717
193	5209	21643
194	5227	21579
195	5243	21507
196	5271	21486
197	5286	21411
198	5300	21335
199	5316	21265
200	5330	21189
201	5346	21120
202	5361	21050
203	5376	20977
204	5391	20906
205	5403	20828
206	5416	20751
207	5430	20678
208	5445	20608
209	5464	20555
210	5485	20511
211	5500	20444
212	5514	20374
213	5528	20304
214	5541	20231
215	5557	20170
216	5572	20108
217	5589	20049
218	5603	19984
219	5620	19928
220	5645	19899
221	5659	19834
222	5674	19771
223	5687	19704
224	5701	19639
225	5717	19579
226	5732	19519
227	5748	19464
228	5762	19402
229	5777	19342
230	5806	19331
231	5822	19272
232	5838	19219
233	5857	19174
234	5877	19133
235	5894	19083
236	5912	19036
237	5930	18986
238	5948	18941
239	5965	18889
240	5983	18843
241	5999	18791
242	6029	18784
243	6051	18749
244	6071	18711
245	6094	18681
246	6116	18646
247	6134	18601
248	6154	18561
249	6175	18525
250	6216	18551
251	6233	18502
252	6250	18454
253	6270	18416
254	6288	18371
255	6305	18325
256	6324	18283
257	6345	18250
258	6364	18207
259	6383	18169
260	6416	18168
261	6436	18130
262	6454	18086
263	6471	18041
264	6489	17998
265	6506	17955
266	6523	17908
267	6540	17863
268	6556	17817
269	6572	17770
270	6588	17724
271	6606	17681
272	6639	17680
273	6658	17642
274	6675	17598
275	6691	17554
276	6708	17510
277	6726	17469
278	6743	17425
279	6760	17384
280	6786	17363
281	6815	17352
282	6832	17310
283	6849	17267
284	6866	17225
285	6883	17183
286	6899	17141
287	6912	17088
288	6928	17045
289	6943	17000
290	6971	16985
291	6987	16941
292	7003	16900
293	7020	16857
294	7036	16816
295	7053	16775
296	7069	16733
297	7084	16689
298	7100	16645
299	7116	16605
300	7133	16566
301	7151	16528
302	7171	16497
303	7201	16488
304	7226	16466
305	7249	16441
306	7270	16411
307	7290	16380
308	7312	16353
309	7334	16324
310	7355	16295
311	7376	16265
312	7413	16271
313	7435	16243
314	7454	16209
315	7473	16175
316	7492	16142
317	7509	16104
318	7527	16069
319	7556	16057
320	7586	16047
321	7604	16012
322	7623	15978
323	7642	15945
324	7660	15909
325	7678	15875
326	7697	15841
327	7714	15806
328	7732	15769
329	7749	15733
330	7766	15697
331	7800	15694
332	7817	15658
333	7835	15624
334	7852	15587
335	7869	15552
336	7886	15515
337	7905	15483
338	7921	15446
339	7941	15416
340	7966	15396
341	7995	15383
342	8025	15373
343	8047	15345
344	8101	15380
345	8128	15364
346	8155	15346
347	8176	15319
348	8199	15295
349	8227	15279
350	8250	15255
351	8273	15230
352	8314	15238
353	8360	15257
354	8411	15283
355	8443	15273
356	8473	15262
357	8507	15257
358	8542	15252
359	8593	15278
360	8621	15261
361	8646	15239
362	8677	15227
363	8700	15201
364	8726	15181
365	8751	15159
366	8785	15152
367	8837	15176
368	8876	15179
369	8903	15159
370	8938	15154
371	8970	15144
372	9001	15131
373	9036	15124
374	9069	15115
375	9105	15110
376	9142	15108
377	9173	15094
378	9207	15087
379	9243	15081
380	9283	15081
381	9314	15069
382	9335	15039
383	9361	15017
384	9402	15018
385	9420	14985
386	9442	14956
387	9461	14924
388	9483	14895
389	9506	14869
390	9529	14842
391	9549	14810
392	9572	14785
393	9592	14754
394	9612	14723
395	9651	14720
396	9677	14699
397	9700	14672
398	9723	14645
399	9750	14626
400	9774	14600
401	9795	14571
402	9821	14548
403	9846	14525
404	9887	14526
405	9912	14502
406	9936	14476
407	9961	14453
408	9986	14430
409	10010	14405
410	10035	14382
411	10060	14358
412	10102	14358
413	10125	14332
414	10149	14306
415	10169	14276
416	10189	14246
417	10209	14215
418	10231	14187
419	10250	14155
420	10289	14150
421	10313	14126
422	10333	14095
423	10352	14063
424	10368	14028
425	10387	13996
426	10406	13965
427	10423	13931
428	10461	13924
429	10475	13885
430	10488	13846
431	10506	13813
432	10520	13776
433	10541	13748
434	10559	13715
435	10579	13686
436	10599	13655
437	10632	13642
438	10651	13611
439	10670	13580
440	10689	13550
441	10710	13520
442	10730	13491
443	10749	13461
444	10779	13444
445	10807	13424
446	10830	13398
447	10851	13370
448	10868	13337
449	10885	13304
450	10901	13270
451	10916	13235
452	10931	13200
453	10968	13190
454	10986	13160
455	10998	13121
456	11013	13085
457	11029	13052
458	11047	13020
459	11062	12986
460	11078	12952
461	11093	12918
462	11109	12884
463	11126	12852
464	11142	12819
465	11171	12801
466	11186	12767
467	11198	12730
468	11214	12697
469	11231	12665
470	11249	12635
471	11270	12608
472	11289	12578
473	11308	12548
474	11338	12531
475	11368	12514
476	11386	12484
477	11403	12453
478	11423	12424
479	11443	12397
480	11462	12368
481	11478	12336
482	11516	12326
483	11533	12296
484	11551	12265
485	11569	12236
486	11590	12209
487	11609	12180
488	11627	12151
489	11646	12121
490	11684	12112
491	11701	12082
492	11718	12051
493	11735	12020
494	11753	11990
495	11771	11961
496	11789	11932
497	11807	11902
498	11840	11888
499	11861	11861
500	11873	11825
501	11892	11797
502	11909	11767
503	11927	11737
504	11942	11706
505	11960	11676
506	11978	11648
507	11995	11618
508	12014	11589
509	12026	11555
510	12052	11533
511	12066	11500
512	12079	11467
513	12094	11435
514	12109	11404
515	12126	11374
516	12143	11345
517	12156	11311
518	12172	11281
519	12188	11251
520	12208	11224
521	12225	11195
522	12255	11177
523	12280	11155
524	12307	11135
525	12338	11118
526	12364	11097
527	12389	11075
528	12413	11052
529	12452	11042
530	12494	11035
531	12521	11014
532	12545	10992
533	12570	10969
534	12599	10951
535	12624	10928
536	12647	10904
537	12666	10876
538	12722	10881
539	12741	10853
540	12765	10830
541	12788	10806
542	12812	10783
543	12841	10764
544	12859	10735
545	12876	10707
546	12897	10680
547	12914	10651
548	12931	10623
549	12971	10613
550	13002	10595
551	13030	10575
552	13055	10552
553	13143	10581
554	13178	10566
555	13244	10576
556	13290	10570
557	13359	10582
558	13396	10568
559	13417	10542
560	13434	10512
561	13460	10490
562	13499	10478
563	13518	10450
564	13535	10420
565	13555	10393
566	13571	10364
567	13609	10351
568	13633	10327
569	13665	10308
570	13692	10287
571	13725	10270
572	13757	10252
573	13795	10238
574	13825	10218
575	13851	10196
576	13877	10173
577	13903	10150
578	13926	10126
579	13950	10102
580	13977	10080
581	13991	10049
582	14024	10031
583	14049	10007
584	14068	9980
585	14084	9950
586	14098	9919
587	14116	9891
588	14134	9862
589	14151	9834
590	14195	9823
591	14216	9797
592	14236	9771
593	14257	9745
594	14274	9716
595	14293	9688
596	14308	9659
597	14327	9631
598	14353	9608
599	14367	9578
600	14380	9547
601	14425	9537
602	14441	9508
603	14458	9479
604	14475	9451
605	14493	9423
606	14507	9392
607	14526	9365
608	14543	9337
609	14561	9309
610	14579	9282
611	14597	9254
612	14612	9225
613	14655	9213
614	14674	9186
615	14694	9159
616	14710	9131
617	14728	9104
618	14747	9076
619	14766	9050
620	14787	9024
621	14803	8996
622	14823	8969
623	14841	8942
624	14913	8947
